Domain Code,Domain,Reporter Country Code (FAO),Reporter Countries,Partner Country Code (FAO),Partner Countries,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"FT","Forestry Trade Flows","2","Afghanistan","68","France","5922","Export Value","1633","Sawnwood, non-coniferous all","2017","2017","1000 US$","37","","Official data"
"FT","Forestry Trade Flows","2","Afghanistan","165","Pakistan","5922","Export Value","1671","Newsprint","2017","2017","1000 US$","2","","Official data"
"FT","Forestry Trade Flows","3","Albania","11","Austria","5922","Export Value","1633","Sawnwood, non-coniferous all","2017","2017","1000 US$","29","","Official data"
"FT","Forestry Trade Flows","3","Albania","33","Canada","5922","Export Value","1619","Wood chips and particles","2017","2017","1000 US$","0","","Official data"
"FT","Forestry Trade Flows","3","Albania","68","France","5922","Export Value","1632","Sawnwood, coniferous","2017","2017","1000 US$","13","","Official data"
"FT","Forestry Trade Flows","3","Albania","68","France","5922","Export Value","1640","Plywood","2017","2017","1000 US$","4","","Official data"
"FT","Forestry Trade Flows","3","Albania","68","France","5922","Export Value","1671","Newsprint","2017","2017","1000 US$","452","","Official data"
"FT","Forestry Trade Flows","3","Albania","84","Greece","5922","Export Value","1632","Sawnwood, coniferous","2017","2017","1000 US$","362","","Official data"
"FT","Forestry Trade Flows","3","Albania","84","Greece","5922","Export Value","1633","Sawnwood, non-coniferous all","2017","2017","1000 US$","32","","Official data"
"FT","Forestry Trade Flows","3","Albania","84","Greece","5922","Export Value","1634","Veneer sheets","2017","2017","1000 US$","16","","Official data"
"FT","Forestry Trade Flows","3","Albania","106","Italy","5922","Export Value","1670","Industrial roundwood, non-coniferous non-tropical (export/import)","2017","2017","1000 US$","2","","Official data"
"FT","Forestry Trade Flows","3","Albania","106","Italy","5922","Export Value","1619","Wood chips and particles","2017","2017","1000 US$","120","","Official data"
"FT","Forestry Trade Flows","3","Albania","106","Italy","5922","Export Value","1633","Sawnwood, non-coniferous all","2017","2017","1000 US$","1536","","Official data"
"FT","Forestry Trade Flows","3","Albania","195","Senegal","5922","Export Value","1633","Sawnwood, non-coniferous all","2017","2017","1000 US$","5","","Official data"
"FT","Forestry Trade Flows","3","Albania","223","Turkey","5922","Export Value","1632","Sawnwood, coniferous","2017","2017","1000 US$","5","","Official data"
"FT","Forestry Trade Flows","4","Algeria","223","Turkey","5922","Export Value","1671","Newsprint","2017","2017","1000 US$","18","","Official data"
"FT","Forestry Trade Flows","7","Angola","4","Algeria","5922","Export Value","1640","Plywood","2017","2017","1000 US$","18","","Official data"
"FT","Forestry Trade Flows","7","Angola","255","Belgium","5922","Export Value","1657","Industrial roundwood, non-coniferous tropical (export/import)","2017","2017","1000 US$","22","","Official data"
"FT","Forestry Trade Flows","7","Angola","255","Belgium","5922","Export Value","1633","Sawnwood, non-coniferous all","2017","2017","1000 US$","151","","Official data"
"FT","Forestry Trade Flows","7","Angola","351","China","5922","Export Value","1657","Industrial roundwood, non-coniferous tropical (export/import)","2017","2017","1000 US$","19902","","Official data"
"FT","Forestry Trade Flows","7","Angola","351","China","5922","Export Value","1670","Industrial roundwood, non-coniferous non-tropical (export/import)","2017","2017","1000 US$","4374","","Official data"
"FT","Forestry Trade Flows","7","Angola","351","China","5922","Export Value","1633","Sawnwood, non-coniferous all","2017","2017","1000 US$","2553","","Official data"
"FT","Forestry Trade Flows","7","Angola","351","China","5922","Export Value","1634","Veneer sheets","2017","2017","1000 US$","257","","Official data"
